Date,Close,Percent Change,Volume
10/4/2020,1585.75,0.00%,"3,178,853,719.00"
10/5/2020,1582.12,0.00%,"2,578,607,088.00"
10/6/2020,1586.29,0.00%,"2,510,585,332.00"
10/7/2020,1600.97,0.00%,"3,358,506,296.00"
10/8/2020,1589.63,0.00%,"2,862,712,521.00"
10/11/2020,1576.27,0.00%,"2,395,432,599.00"
10/12/2020,1578.01,0.00%,"1,949,060,194.00"
10/13/2020,1568.59,0.00%,"1,819,638,977.00"
10/14/2020,1561.17,0.00%,"1,496,387,992.00"
10/15/2020,1562.46,0.00%,"1,425,890,738.00"
10/18/2020,1556.8,0.00%,"1,252,748,181.00"
10/19/2020,1570.38,0.00%,"954,656,107.00"
10/20/2020,1583.6,0.00%,"1,271,829,990.00"
10/21/2020,1597.71,0.00%,"1,633,246,148.00"
10/22/2020,1606.25,0.00%,"1,994,543,919.00"
10/28/2020,1647.45,0.00%,"2,725,994,069.00"
10/29/2020,1645.67,0.00%,"3,037,694,845.00"
11/1/2020,1640.95,0.00%,"2,930,939,007.00"
11/2/2020,1637.63,0.00%,"2,453,954,688.00"
11/3/2020,1643.03,0.00%,"2,237,964,572.00"
11/4/2020,1640.64,0.00%,"1,757,423,745.00"
11/5/2020,1636.17,0.00%,"2,842,469,177.00"
11/8/2020,1648.58,0.00%,"3,526,777,261.00"
11/9/2020,1652.8,0.00%,"3,699,879,726.00"
11/10/2020,1678.79,0.00%,"4,096,190,256.00"
11/11/2020,1707.67,0.00%,"4,099,604,742.00"
11/12/2020,1718.49,0.00%,"4,256,475,891.00"
11/18/2020,1741.81,0.00%,"4,791,041,649.00"
11/19/2020,1778.12,0.00%,"6,116,730,071.00"
11/22/2020,1782.81,0.00%,"6,878,787,665.00"
11/23/2020,1780.43,0.00%,"4,762,704,611.00"
11/24/2020,1810.11,0.00%,"5,442,950,189.00"
11/25/2020,1874.81,0.00%,"5,131,886,488.00"
11/26/2020,1893.24,0.00%,"7,613,030,091.00"
11/29/2020,1968.27,0.00%,"9,227,348,348.00"
11/30/2020,1997.05,0.00%,"8,867,714,682.00"
12/1/2020,2000.4,0.00%,"7,404,154,007.00"
12/2/2020,2071.02,0.00%,"7,463,482,972.00"
12/3/2020,2055.45,0.00%,"8,026,023,798.00"
12/6/2020,1932.11,0.00%,"7,209,180,213.00"
12/7/2020,2004.39,0.00%,"6,667,956,831.00"
12/8/2020,1995.35,0.00%,"5,719,436,384.00"
12/9/2020,1955.75,0.00%,"4,745,649,292.00"
12/10/2020,1964.02,0.00%,"4,146,321,050.00"
12/13/2020,2010.45,0.00%,"4,899,484,131.00"
12/14/2020,2067.17,0.00%,"7,204,136,923.00"
12/15/2020,2061.41,0.00%,"6,069,331,687.00"
12/16/2020,2055.22,0.00%,"5,144,675,578.00"
12/17/2020,2032.51,0.00%,"6,769,890,815.00"
12/20/2020,1935.63,0.00%,"8,612,857,317.00"
12/21/2020,1965.96,0.00%,"6,698,874,354.00"
12/22/2020,2061.41,0.00%,"6,740,744,432.00"
12/23/2020,2068.45,0.00%,"6,862,445,215.00"
12/24/2020,2038.63,0.00%,"5,369,046,322.00"
12/27/2020,1998.65,0.00%,"4,623,452,312.00"
12/28/2020,2007.29,0.00%,"3,850,320,045.00"
12/29/2020,2012.89,0.00%,"4,092,227,802.00"
12/30/2020,2062.06,0.00%,"4,446,222,579.00"
12/31/2020,2087.27,0.00%,"5,703,469,837.00"
1/3/2021,2175.39,0.00%,"6,344,017,889.00"
1/4/2021,2169.04,0.00%,"5,961,733,122.00"
1/5/2021,2165.49,0.00%,"4,566,381,178.00"
1/6/2021,2178.57,0.00%,"4,425,472,339.00"
1/7/2021,2194.48,0.00%,"5,874,708,279.00"
1/10/2021,2235.72,0.00%,"6,326,646,806.00"
1/11/2021,2239.42,0.00%,"5,524,832,993.00"
1/12/2021,2267.73,0.00%,"4,982,391,897.00"
1/13/2021,2286.54,0.00%,"5,914,389,261.00"
1/17/2021,2315,0.00%,"6,374,267,782.00"
1/18/2021,2332.31,0.00%,"6,314,664,167.00"
1/19/2021,2326.9,0.00%,"7,467,439,848.00"
1/20/2021,2342.76,0.00%,"6,210,966,026.00"
1/21/2021,2374.64,0.00%,"7,798,528,433.00"
1/24/2021,2424.84,0.00%,"9,376,053,220.00"
1/25/2021,2440.87,0.00%,"8,903,538,731.00"
1/26/2021,2423.09,0.00%,"8,279,701,077.00"
1/27/2021,2441.85,0.00%,"8,006,238,770.00"
1/28/2021,2425.29,0.00%,"9,898,456,128.00"
1/31/2021,2370.54,0.00%,"8,973,206,450.00"
2/1/2021,2408.24,0.00%,"6,972,936,529.00"
2/2/2021,2473.73,0.00%,"8,593,472,987.00"
2/3/2021,2466.92,0.00%,"9,531,716,496.00"
2/4/2021,2475.26,0.00%,"7,615,071,093.00"
2/7/2021,2524,0.00%,"10,441,951,304.00"
